Genus.Species,Caste,Image CASENT,Weber's length_1,Weber's length_2,Weber's length_error_rate,Head width_1,Head width_2,Head_width_error_rate,Scape length,Mandible length_1,Mandible length_2,Mandible length_error_rate,Eye length_1,Eye length_2,Eye length_error_rate
Tapinoma.litorale,worker,casent0249763,0.612,0.618,-0.010,0.509,0.511,-0.004,,0.134,0.134,0.000,0.091,0.096,-0.055
Tapinoma.melanocephalum,worker,casent0104536,0.537,0.545,-0.015,0.431,0.429,0.005,,0.082,0.083,-0.012,0.123,0.124,-0.008
Tapinoma.sessile,worker,casent0005329,0.913,0.935,-0.024,0.684,0.677,0.010,,0.144,0.142,0.014,0.187,0.191,-0.021
Technomyrmex.difficilis,worker,casent0171131,0.688,0.694,-0.009,0.747,0.748,-0.001,,0.171,0.153,0.105,0.196,0.198,-0.010
Temnothorax.allardycei,worker,casent0104009,0.856,0.846,0.012,0.653,0.659,-0.009,,0.103,0.103,0.000,0.172,0.173,-0.006
Temnothorax.bradleyi,worker,casent0104011,0.966,0.970,-0.004,0.653,0.650,0.005,,0.096,0.096,0.000,0.124,0.118,0.048
Temnothorax.curvispinosus,worker,casent0104032,0.701,0.700,0.001,0.485,0.489,-0.008,,0.085,0.086,-0.012,0.123,0.121,0.016
Temnothorax.palustris,worker,casent0104045,0.769,0.777,-0.010,0.501,0.505,-0.008,,0.086,0.086,0.000,0.124,0.124,0.000
Temnothorax.pergandei,worker,casent0102842,0.952,0.941,0.012,0.617,0.618,-0.002,,0.102,0.105,-0.029,0.178,0.183,-0.028
Temnothorax.schaumii,worker,casent0104047,0.768,0.777,-0.012,0.451,0.452,-0.002,,0.063,0.064,-0.016,0.120,0.119,0.008
Temnothorax.smithi,worker,casent0104053,1.033,1.033,0.000,0.886,0.888,-0.002,,0.120,0.118,0.017,0.174,0.164,0.057
Temnothorax.texanus,worker,casent0104063,0.736,0.720,0.022,0.431,0.434,-0.007,,0.080,0.080,0.000,0.114,0.118,-0.035
